,Pt1-OnTx,Pt1-baseline,Pt2-OnTx,Pt2-baseline,Pt3-OnTx,Pt3-baseline,Pt4-OnTx,Pt4-baseline,Pt5-OnTx,Pt5-baseline
CALN1,1.13814,0.2083365,0.00933379,0.01307175,7.84839,5.05816,0.002070885,0.0068293,0.0177889,0
CALR,594.8775,501.0815,718.0055,689.641,576.113,570.5035,536.9885,505.7955,673.995,617.051
CALR3,0.03238535,0.022958,0,0.0333296,0.3072985,0.3964275,0.031903,0.05197645,0.0128788,0.0434967
CALU,194.964,216.3535,229.7445,223.2635,144.0235,258.827,568.5665,557.761,243.5655,206.846
CALY,0,0,0.105984,0.1796395,0.16634,0.3229115,0.1616285,0.2099395,0.0483042,0.0764955
CAMK1,1.08619,0.6453545,5.038735,3.490895,18.61635,14.87105,10.83685,12.12855,17.06485,11.87285
CAMK1D,0.171436,0.309101,1.90014,0.5318955,1.769785,2.27684,0.584229,1.87938,1.93753,2.67349
CAMK1G,8.633185,9.96702,5.250945,11.1193,0.02720845,0.2180235,2.072985,0.768493,1.219095,0.881327
CAMK2A,0.0809591,0.10286145,0.387151,0.219112,0.014190025,0.09065745,2.60554,2.658355,0.1619088,0.283035
CAMK2B,0.0294534,0.09047235,0.6619055,0.0819363,0.3461815,0.2467615,1.07854,2.78816,1.042798,0.06664065
CAMK2D,33.685,7.545685,5.679515,3.087105,12.332,14.2266,26.72285,19.9376,6.63167,7.789305
CAMK2G,5.33953,6.20437,5.880245,3.94425,2.29042,2.061765,5.213755,7.64376,7.78067,7.511165
CAMK2N1,40.99895,29.0661,4.99819,4.30632,18.38705,56.34585,72.0442,84.37515,21.0095,14.60515
CAMK2N2,4.657555,7.05595,2.123695,2.073105,0.876421,0.5601345,0.27359,1.027815,4.98627,3.40581
CAMK4,0.08270665,0.01349475,2.96982,4.311925,0.7474925,0.6677095,0.12239665,0.1536185,1.481385,1.26522
CAMKK1,0.139757,0.167017,1.266405,1.429535,7.793295,3.988195,1.33529,2.097545,5.49109,5.03788
CAMKK2,9.62771,10.6066,9.407255,7.973115,10.87365,10.945,11.85485,12.0239,12.8808,9.878685
CAMKMT,3.479885,4.57559,2.348685,1.32217,2.26657,2.130725,0.7669785,0.8144595,2.546865,2.42352
CAMKV,0,0,0.2514485,0.373551,4.141345,2.98266,0.0931558,0,0.228689,0.1384195
CAMLG,13.7388,18.0525,20.3584,30.9302,12.4269,12.3402,12.22025,10.01735,16.5233,16.4013
CAMP,0.08716845,0.3084425,0.334219,0,0.37901,0.1234115,1.6537,0.2524905,0.164073,1.03798
CAMSAP1,4.347955,4.8823,3.772165,3.36197,7.016295,7.124545,5.23137,6.1196,6.277475,5.43736
CAMSAP2,19.09395,20.8175,5.145125,5.66126,7.23367,14.17745,15.9529,12.3587,9.87668,11.75905
CAMSAP3,0.01459675,0.07990795,0.039794,0.146279,0.344298,0.145214,0.01151975,0.0233965,0.1471555,0.07732305
CAMTA1,54.567,73.19365,29.39635,41.47885,53.25675,41.40405,50.1054,45.138,85.2098,106.6325
CAMTA2,18.9904,11.3677,11.45885,9.335885,10.3291,7.01709,8.727235,14.19475,13.66475,13.04475
CAND1,28.19995,32.0184,11.80255,11.0786,15.46005,21.23505,26.92515,20.24895,18.284,15.04875
CAND1.11,0.0923721,0.480366,0.101698,0.0760855,0.07648505,0.36553,0.0931762,0.065104,0.0198408,0
CAND2,0.06330495,0.0564083,1.798125,1.09095,1.529705,0.795418,0.430013,0.2694775,2.601515,2.980325
CANT1,19.52115,21.82735,20.5374,22.9418,25.19165,16.38695,16.15875,16.9609,24.8855,17.51285
CANX,224.2115,235.743,207.5735,160.562,206.7355,283.031,114.9055,103.423,144.9425,175.2905
CAP1,172.333,183.725,141.7765,118.4105,111.298,117.643,185.1395,157.915,167.6665,161.437
CAP2,13.72075,33.9229,14.0082,19.8812,5.45469,3.38239,0.2247775,0.3756625,8.89273,7.589865
CAPG,190.554,85.38665,107.388,134.4655,62.87325,51.73105,329.943,263.9685,170.4825,298.807
CAPN1,49.2077,50.63095,34.63745,27.58635,34.3565,21.20405,19.18755,30.47615,40.86695,27.58385
CAPN10,9.956405,5.82501,8.387955,8.1316,10.134825,10.4093,9.828355,11.03205,7.37218,7.04392
CAPN10-AS1,0.803352,0.155755,1.138915,0.7545995,0.526728,1.055595,0.563381,0.8575385,0.174752,0.475523
CAPN11,0.4675865,0.766707,0.262276,0.07071775,0.0576488,0.1153395,0.440587,0.8423225,1.17551,0.5467165
