,Pt1-OnTx,Pt1-baseline,Pt2-OnTx,Pt2-baseline,Pt3-OnTx,Pt3-baseline,Pt4-OnTx,Pt4-baseline,Pt5-OnTx,Pt5-baseline
A1BG,8.411245,6.88773,12.14435,32.1776,5.835355,4.306105,6.53026,6.42002,8.30743,12.2749
A1BG-AS1,1.373575,0.349027,0.9777765,0.7548175,1.458905,1.896455,4.81383,0.8739055,0.397611,0.841965
A1CF,0.00191447,0,0.002020765,0.001737545,0.0014145,0,0,0.002401945,0,0.0015777
A2M,106.6405,41.5823,306.4995,189.7325,499.497,497.008,531.984,407.3005,409.3965,240.7885
A2M-AS1,0.05777105,0.0409707,1.98147,1.831725,1.936515,1.475915,1.874585,1.26284,1.439495,1.13383
A2ML1,0,0.00386163,0.00924475,0.00557915,0.02567975,0.0305119,0.00740105,0.00726874,0.05747745,0.011383805
A2MP1,0.0117314,0,0.1302355,0.0174091,0,0.0556217,0.01848235,0.0125307,0.14829785,0.0883636
A3GALT2,0,0,0,0,0.017567,0.17638585,0.05986345,0.266325,0,0
A4GALT,0.7878425,0.626655,4.9276,1.81209,41.98685,25.95475,2.19474,6.969575,15.61375,5.555175
A4GNT,0.0163845,0,0.0746766,0.088079,0.01378595,0.02480035,0.2496445,0.203963,0,0.0424443
AA06,0,0,0,0,0,0,0,0,0,0
AAAS,27.37235,24.5094,33.61155,21.75615,18.0775,19.8597,15.30115,15.56335,24.85635,17.61315
AACS,6.64713,9.08217,3.22336,4.20377,11.0967,9.031765,21.0058,12.0712,10.21437,8.29545
AACSP1,1.40167,0.287504,3.508375,3.97877,0,0,0.0099602,0.0196238,0.0083277,0
AADAC,0,0,0.0251649,0.0231732,0.0079069,0.0110397,0.02917645,0.207997,0.0669562,0
AADACL2,0,0,0,0,0,0,0,0,0,0
AADACL2-AS1,0,0,0,0,0,0,0,0,0.03214765,0
AADACL3,0,0,0.265626,0,0,0,0,0,0,0
AADACL4,0,0,0.01352465,0,0,0,0.0161111,0.01537795,0,0
AADACP1,0.5497285,0.3719175,0.2743975,0.5446455,0.142143,0.03395765,0.0215299,0.07481535,0,0
AADAT,5.7979,4.155865,0.990447,1.09597,6.451285,9.28553,7.184405,6.061165,3.487515,4.45842
AAED1,7.54979,10.54595,8.711875,13.85065,14.52435,12.29045,10.04243,13.3626,10.85335,13.63985
AAGAB,25.71735,28.6419,18.21505,13.2073,9.74053,11.9819,17.4719,13.43935,13.4443,7.95904
AAK1,2.06651,1.544565,1.597345,0.7925565,1.76889,2.28712,3.494345,4.23266,2.448315,2.53614
AAMDC,24.2569,35.2364,30.7567,30.92045,26.0295,11.36335,14.27465,9.642815,38.0173,41.2414
AAMP,36.04225,52.10065,63.57715,68.8166,81.7024,73.96215,52.56285,55.8816,68.1443,54.5129
AANAT,0,0,0.02527955,0.149599,0.06786755,0.0790486,0.08395725,0.07022825,0.04636485,0.04738015
AAR2,24.918,28.5212,28.1786,30.4185,23.838,17.798,17.7395,16.00935,20.74975,14.46645
AARD,0.0080983,0.00863605,1.64261,2.079915,6.777555,6.58973,1.518235,4.44654,0.9278635,1.10224
AARS,130.65,124.5665,44.92455,29.46975,64.5811,52.6477,67.0643,53.6405,43.77815,28.11465
AARS2,9.846535,22.74465,10.09092,13.8711,9.37548,4.331565,5.00168,4.173135,8.177265,7.93187
AARSD1,15.07385,13.6869,20.2058,20.9392,28.7344,17.45495,15.2891,11.79675,19.4639,14.47045
AASDH,5.23793,5.219535,3.094095,2.75756,2.403015,2.79664,3.52858,3.34716,1.54572,1.77538
AASDHPPT,25.53785,18.816,15.5521,21.52795,35.9642,42.30715,28.89875,25.36575,14.1804,18.36145
AASS,4.73028,3.326445,8.658945,6.29661,3.024825,3.66579,11.80205,2.22148,2.674065,5.891125
AATF,11.03915,13.2925,39.1663,26.27855,40.50365,28.3544,18.66865,16.73175,33.83785,31.77025
AATK,0.2360885,0.10493215,3.47689,2.8799,7.05787,6.505275,34.80045,19.5062,1.690725,2.76564
AATK-AS1,0,0,0,0.0210203,0.00731195,0,0.06844605,0.05510315,0,0
ABAT,1.66081,2.554225,0.7553,0.3077135,3.37079,1.74464,0.1693415,0.3838595,0.638503,0.963374
ABCA1,0.316495,0.3134885,5.68568,3.25429,7.167965,9.88487,4.26645,4.699975,2.28405,4.959685
ABCA10,0.171372,0.0312271,0.1813835,0.168759,0.135025,0.246159,0.2306815,0.2956485,0.046836,0.301079
ABCA11P,2.19483,2.5646,2.69858,2.668265,1.910395,1.729365,0.7887935,1.155165,0.9319845,1.63708
ABCA12,0.0066333,0.0153184,0.006454545,0.01334755,0.01790215,0.006909605,0.002507395,0.00182982,0.0432372,0.03296235
ABCA13,0.09152025,0.1809565,0.1046228,0.10033315,2.63141,3.206435,0.5215465,0.470623,0.029759,0.3560755
ABCA17P,0.13655,0.11119545,0.6116905,0.852264,0.333367,0.1810975,0.0158203,0.02478389,0.0408428,0.144163
ABCA2,5.71728,3.906025,6.2426,5.326255,23.76685,26.33785,7.95067,9.24741,8.83625,11.53445
ABCA3,3.228555,6.481735,9.830885,10.7384,10.84295,7.02944,0.571889,0.6041405,1.019005,1.614815
ABCA4,0.001582675,0.01545255,1.10352,0.4603085,0.03338765,0.03754115,0.00793537,0.0212586,0.07150125,0.04525765
ABCA5,2.556455,1.705005,2.27231,1.911315,3.27751,3.92854,1.29208,1.247185,0.7364675,1.630715
ABCA6,0.147813,0.0348114,0.5384645,0.159487,8.272955,19.89325,1.982805,3.438355,0.467384,0.129966
ABCA7,6.150965,2.68929,3.786115,3.75524,1.37118,1.44071,2.768335,3.150305,2.277775,3.885145
ABCA8,0.06779365,0.1144435,0.803778,0.18897,0.09090225,0.3353825,1.66757,1.48927,0.4160285,0.04155885
ABCA9,0.13688,0.0935489,0.4326815,0.195528,0.8038075,1.247165,0.661047,1.423145,0.279706,0.2712215
ABCB1,0.6838,0.381379,1.467015,0.56252,0.341334,0.303307,1.077729,14.01905,2.272655,0.6911105
ABCB10,16.1807,17.71695,5.66681,12.20105,13.74505,12.36235,9.786245,5.261905,4.159645,4.97956
ABCB11,0,0,0,0,0,0.008107755,0,0.006995235,0.003367635,0
ABCB4,0.0616729,0.0587196,7.105515,3.17201,3.081845,2.727345,8.53603,12.88525,1.96889,1.286385
ABCB5,110.641,77.78595,39.57745,67.90795,0.2056485,0.2394345,0.038683,0.2508365,6.657185,28.88845
ABCB6,6.940315,5.73986,28.2341,31.21195,18.9736,18.5757,5.30937,7.59112,18.5784,23.2766
ABCB7,8.115115,11.7401,4.13591,6.504605,6.072105,7.237685,3.60967,3.62966,5.850875,5.74972
ABCB8,3.704665,3.03634,19.3598,27.56575,6.77003,6.14694,14.6588,24.7932,16.50025,20.3946
ABCB9,3.57608,3.78995,1.306825,1.47172,2.91454,3.56888,9.27764,8.595625,4.38223,3.5436
ABCC1,6.96863,8.61612,5.2424,4.85512,11.17765,8.97223,1.058675,3.37754,8.95158,8.868735
ABCC10,12.12105,11.5337,5.859915,6.48453,3.473785,2.540175,4.24068,5.42066,6.12032,5.80678
ABCC11,0.08495395,0.184069,0.2289755,0.263956,0.3436385,0.2045385,0.01780742,0.0043256,0.0193702,0.0390199
ABCC12,0,0,0.006884805,0.004196975,0.002086445,0.01961665,0,0,0.00327658,0.00357149
ABCC13,0,0,0,0,0,0,0,0,0.0061725,0.0644059
ABCC2,14.4006,11.82025,5.083305,6.190695,0.0512768,0.07187045,1.30166,0.198907,4.27396,0.891946
ABCC3,0.3300965,0.1883575,0.8635355,0.704162,0.6383905,2.256355,2.929175,9.62865,2.46916,2.737455
ABCC4,5.687075,5.72822,2.126495,2.02195,7.652455,8.61745,4.51419,3.023915,3.061545,2.68358
ABCC5,17.6058,11.5542,23.3699,26.7503,12.96345,11.7843,9.89746,15.92415,11.37335,15.03545
ABCC5-AS1,0,0,0,0.0945135,0,0,0,0,0,0
ABCC6,0.0206583,0.02289565,0.1566159,0.06919825,0.1852335,0.06544365,0.0400957,0.1536295,0.4119495,0.7694045
ABCC6P1,0.005449,0,0.01369945,0,0.008892375,0.01091335,0,0.01775795,0.0128139,0.06308145
ABCC6P2,0,0.023498,0.0939975,0.0419661,0.3823705,0.08993835,0.110267,0.1919105,0.2585215,0.7903565
ABCC8,0.3797695,0.7091125,0.00763025,0,2.316555,2.54465,0,0.002981975,0.00378413,0.0497156
ABCC9,2.715105,1.25624,2.972215,1.336655,1.136545,2.39297,2.09516,3.621825,3.668645,2.33902
ABCD1,27.61085,16.2512,13.17755,9.08509,1.595185,1.729625,11.46555,10.7549,22.01385,26.6386
ABCD2,0.2759985,0.01962275,0.1460205,0.07509955,0.01388359,0.01009119,0.00826965,0.04248735,0.0219943,0.1101885
ABCD3,29.4356,31.3004,19.105,20.5536,8.99779,12.36375,20.0631,15.56615,10.002875,12.60795
ABCD4,17.52935,11.6875,10.28285,8.209125,5.40667,6.49764,7.972335,9.63106,8.97767,6.7909
ABCE1,38.058,36.45895,22.00375,23.15225,26.79505,32.687,35.0985,25.88435,19.00215,23.6171
ABCF1,6.307585,8.85521,2.9247,3.082905,2.86378,2.25424,3.257155,3.165095,4.643235,3.90528
ABCF2,13.8299,14.4973,36.09705,37.98,14.5698,16.279,46.08265,49.18915,28.29915,26.58325
ABCF3,16.8267,15.80695,34.39835,35.13005,22.3108,17.90005,19.4145,19.1991,27.21715,22.7322
ABCG1,0.6083885,0.6453945,12.32085,5.587715,1.37573,2.93702,1.07608,3.57704,5.61473,6.36591
ABCG2,0.06144785,0.3618025,2.708425,2.930675,0.6471665,0.3736715,0.2066495,0.4374575,1.192445,0.8560565
ABCG4,0.0320396,0.059775,0.0332809,0.03974745,0.04078715,0.11895055,0.06709355,0.1256705,0.25596,0.2353805
ABCG5,0.05954725,0.0862406,0.0080792,0.1555505,0.4330155,0.1746895,0.07522175,0.10572605,0.873986,0.3117475
ABCG8,0,0,0.01506445,0,0.0312277,0.024465,0,0,0,0.0088391
ABHD1,0,0.02113705,0.0723998,0.0789598,0.344079,0.1788195,0.04837445,0.06900745,0.0803212,0.1662129
ABHD10,16.3467,15.19475,13.9225,15.89505,15.3149,17.90565,6.01488,6.72432,9.84219,10.55785
ABHD11,4.72848,4.10567,14.41765,18.16785,20.1509,13.87845,14.8354,14.8521,23.06825,28.00165
ABHD12,63.83495,72.66085,117.582,97.9408,77.9005,50.13105,84.4293,71.97555,36.86095,45.0588
ABHD12B,0,0,0.0419267,0.01378865,1.741535,0.4662105,0.1850625,0.1772055,0.01215725,0
ABHD13,14.8752,11.76565,2.96278,3.370845,4.36313,5.193035,6.391415,5.732785,3.063345,2.61778
ABHD14A,11.32905,9.425475,25.26225,16.98455,19.4959,14.07195,12.21195,15.01065,12.7421,10.94288
ABHD14A-ACY1,3.45E-05,0.115320214,2.21E-05,0.000334757,0.228630708,5.58E-05,0.137411713,0.888141,0.000106552,3.21E-05
ABHD14B,34.075,31.6223,23.6031,20.20655,30.2733,18.5726,15.15455,15.8132,20.32155,16.5475
ABHD15,5.843335,6.003155,9.994335,6.10274,6.852295,4.578185,7.95253,6.51823,7.406345,6.23973
ABHD16A,6.34294,6.673795,11.2425,11.82795,4.533725,2.88756,12.96945,13.5639,7.203135,7.51812
ABHD16B,1.959625,1.387235,4.593385,5.8866,3.526775,3.5937,5.15234,4.65399,4.55954,8.2077
ABHD17A,57.4938,49.6634,93.59905,100.9535,78.01055,46.5317,44.9588,46.8329,57.6063,43.7385
ABHD17B,6.50952,8.08946,5.586175,5.21033,10.81705,9.09046,5.75764,4.779975,6.794035,6.7148
ABHD17C,52.2553,17.9461,6.9732,4.85031,13.66825,16.768,18.568,16.92375,19.58015,6.606895
ABHD2,21.26675,17.46115,40.04175,10.1618,10.04965,11.70775,49.1969,54.60775,12.87865,7.73889
ABHD3,7.90392,6.69607,7.804455,8.236385,15.4978,10.47315,20.3379,16.72745,8.86078,11.82275
ABHD4,14.4394,14.0629,17.46135,11.79925,11.1681,9.92898,12.94235,10.869,13.7003,7.390435
ABHD5,4.72698,4.479435,2.863475,2.41459,3.97957,4.050995,3.390145,3.722105,3.71554,3.63399
ABHD6,39.23855,28.09385,10.86035,11.47765,6.399965,5.569575,14.0774,13.43205,5.85626,6.537825
ABHD8,10.359665,9.086835,10.395025,9.91327,5.39756,4.53747,6.457135,9.545755,8.06568,8.906925
ABI1,23.45815,23.9244,20.20545,18.9546,13.05455,14.8503,24.19725,24.0752,12.8329,16.4545
ABI2,9.040095,11.0076,7.775985,5.581955,16.6489,35.59345,24.8018,23.9702,6.63561,5.043535
ABI3,1.283215,1.087365,12.448,7.60107,1.465225,1.337455,1.433085,5.474215,17.6906,14.043
ABI3BP,1.022125,0.06626955,3.647285,1.8268,0.492669,0.877738,2.217635,7.53081,7.826375,2.47284
ABL1,16.85805,15.9412,18.39455,12.92955,18.24395,16.31305,10.05438,15.12835,21.92675,13.45505
ABL2,14.62425,20.09125,11.5954,11.51145,5.64433,6.94336,14.5229,7.85871,9.360045,8.80808
ABLIM1,0.1779685,0.5164655,3.627175,1.40428,0.800101,1.79019,0.8157235,3.154015,6.22888,1.729
ABLIM2,0.0526799,0.10013595,1.20301,0.255893,0.3033215,0.7347675,5.216835,1.092315,1.99472,0.523428
ABLIM3,15.85855,8.47538,11.9071,4.611655,3.776275,3.783045,13.5263,11.2683,7.27216,6.230085
ABO,0.02972785,0.0564449,0.3246575,0.02133495,0.04118505,0.0776831,0.06334265,0.11801605,1.0456525,0.2804925
ABR,54.64415,52.33005,22.9558,21.80695,48.7996,26.84615,38.77965,33.39905,32.53255,36.2486
ABRA,0,0,0.1360985,0.02472005,0,0.004944525,0,0,0,0
ABRACL,73.4874,86.64635,41.6017,46.9136,47.59475,34.70575,39.8558,35.03295,64.77795,56.829
ABT1,31.55965,45.8441,16.5817,23.5634,8.669265,9.326085,12.3547,10.99295,19.68995,14.67435
ABTB1,5.982515,5.54888,11.57985,13.47885,16.4433,13.39845,4.830825,9.3945,21.63835,19.15605
ABTB2,5.2298,6.54667,1.74126,1.345495,20.348,13.2443,4.07153,4.856255,3.036025,2.384505
AC093375.1,0.0102942,0.03461465,0.0225583,0.09137625,0,0.0100519,0,0,0,0
ACAA1,16.8172,12.07635,54.2956,60.35225,38.40385,27.01415,12.3292,17.299,30.9646,38.74685
ACAA2,9.36757,14.62365,25.543,25.48505,37.45055,28.19395,6.615365,20.52325,33.0521,28.6556
ACACA,1.642285,1.54516,6.620265,4.545305,19.3714,16.1565,5.09689,4.7386,4.616425,3.20186
ACACB,0.173131,0.2183655,1.26738,0.8494535,1.617205,1.521185,1.660375,1.728495,2.57999,2.15731
ACAD10,5.80309,6.35269,8.812045,9.182075,4.68276,5.332685,5.68681,5.211965,4.268355,3.69718
ACAD11,7.260705,2.101285,6.577705,5.158715,4.783,6.12976,3.66147,7.328355,2.23495,3.531375
ACAD8,9.139635,5.48153,13.1109,20.18645,9.60319,7.556605,9.220715,9.586455,8.55317,6.315805
ACAD9,14.3139,12.19495,22.0273,20.5088,15.7276,13.0621,14.5454,16.8072,16.64855,13.1886
ACADL,0,0,0.1355975,0,0.979846,0.08130195,0.114154,0.05158985,0.02818545,0.01308305
ACADM,27.59395,26.9024,23.5677,39.908,25.1468,23.3691,43.7036,37.6673,23.15725,30.9678
ACADS,3.56645,3.75678,15.18255,17.47285,9.998935,6.386745,7.59601,9.052715,12.4289,12.5632
ACADSB,7.23228,11.3716,3.22017,7.15059,2.50832,2.586945,0.5240885,0.936002,1.07175,2.14785
ACADVL,114.305,75.63435,159.4065,108.962,116.859,95.6981,130.589,150.1575,116.2185,87.58235
ACAN,0.280013,0.2101485,1.31515,0.2034255,10.35065,9.930515,0.02980295,0.3069245,2.526545,2.43242
ACAP1,0.57393,0.0616955,5.596085,4.002365,0.256022,0.625151,0.458656,1.29921,1.991155,3.509805
ACAP2,11.36555,10.5646,7.21666,7.353035,11.17645,14.1563,11.5652,14.38855,5.780205,8.107565
ACAP3,14.972,7.29435,8.469985,7.00523,9.66408,10.117995,41.97095,52.527,20.11895,35.1428
ACAT1,39.1686,28.6835,33.71285,40.39015,49.2455,45.1039,10.36485,12.12915,34.86075,32.4715
ACAT2,5.530335,5.707225,17.3158,25.4809,36.4581,32.60205,11.92225,8.629335,16.51585,9.741035
ACBD3,42.3464,45.70305,19.42415,21.7287,27.4381,32.284,27.1932,20.80335,14.46955,12.32875
ACBD4,6.65519,5.74657,5.054645,4.149245,3.58843,1.940185,1.67957,2.316515,2.31475,2.70493
ACBD5,11.2427,8.22274,6.613015,7.736675,6.728345,6.9713,15.12135,10.159675,4.615155,7.57841
ACBD6,27.49575,36.7935,28.2961,34.4609,25.05255,23.32875,17.58985,15.495,34.20155,34.5146
ACBD7,0.1960775,1.90049,0.2936785,0.3744745,0.123076,0.197561,1.156489,0.3350635,0.3490135,0.171097
ACCS,8.05304,4.225355,5.059325,5.0186,2.805285,1.581215,0.773934,2.0799,2.82967,4.31701
ACCSL,3.124875,4.465595,0.448543,1.175041,0.1247185,0,0.0120959,0.01735795,0.0303997,0.0552158
ACD,10.8749,12.18175,10.51915,11.95735,10.6631,6.659085,6.026565,7.51961,11.01555,10.68325
ACE,1.37849,1.0583,5.58917,2.404025,8.283275,17.70305,1.402355,5.39429,15.9426,6.80519
ACE2,0.016904075,0.136444,0.02989715,0.009515,0.02103705,0.02402909,0.02203265,0.0053848,0.004431975,0.00839625
ACER1,0,0,0.0956457,0,0,0,0,0,0,0
ACER2,0.4060025,0.559098,0.81746,0.542715,0.586596,0.7683665,1.11288,1.189185,0.53518,0.543479
ACER3,6.383645,9.128275,4.366705,3.563445,4.01891,7.69795,2.85889,3.17809,4.65879,5.79901
ACHE,0.482183,0.03951775,1.26962,0.969069,6.814235,1.53948,0.3411905,0.733977,0.456243,1.37538
ACIN1,35.17615,28.5891,48.98625,36.70835,28.01285,29.6803,55.7597,40.77165,38.0482,35.4856
ACKR1,0.88903,1.430105,29.52005,5.397195,1.210735,5.993805,2.202655,29.7799,44.632,3.626025
ACKR2,0.01779415,0.1281003,0.21237,0.10170325,0.054738,0.4046395,0.03549935,0.4362475,0.07352125,0.0389628
ACKR3,1.052565,2.134485,6.092795,2.36233,9.11746,22.441,4.89113,20.4277,19.9982,5.56525
ACKR4,1.09753,0.251332,0.5166995,0.2006265,0.09298715,0.8911765,0.9321825,4.464585,2.49786,1.5087
ACLY,38.9372,43.3213,31.38265,28.0999,126.0715,76.85235,54.4117,52.44615,48.0089,39.2421
ACMSD,0,0.0245583,0.0150395,0,0,0,0,0,0,0
ACN9,5.665785,5.537365,14.4671,47.0408,24.13785,24.31635,17.2975,13.4837,7.40021,21.3983
ACO1,12.48815,11.07535,9.371045,8.67325,16.1582,11.05345,12.6118,13.9825,17.76805,10.83525
ACO2,47.5177,54.4189,45.7183,50.13705,101.043,78.21255,39.6664,36.69875,38.93475,28.01675
ACOT1,2.419075,2.66742,0.8342505,0.8008545,3.13692,2.11542,3.336355,2.9606,3.670135,2.56491
ACOT11,0.0339274,0.0255795,0.307524,0.3694405,3.482955,2.14752,3.341315,3.75192,1.153285,0.985755
ACOT12,0,0,0.02974895,0,0.0664372,0.0306599,0.01092175,0,0,0
ACOT13,12.0184,15.56785,8.062755,7.79981,4.173755,5.38247,5.73021,4.91089,6.491235,8.10845
ACOT2,12.993,14.1501,8.06163,7.47366,12.13235,8.810385,8.84592,11.9211,12.42115,7.44663
ACOT4,0.07195035,0.183796,1.786185,2.211775,2.324135,1.564175,0.1499485,1.130385,1.515495,1.76178
ACOT6,0,0.0632176,0.09144345,0.2277085,0.34328,0.2789075,0.02686065,0.075696,0,0.0649812
ACOT7,155.3,128.5575,46.71165,47.3846,84.0284,51.35545,205.632,190.8055,105.796,93.59035
ACOT8,13.9188,12.24355,31.1839,53.28945,20.6687,14.1367,20.57495,19.52585,16.95695,17.08755
ACOT9,30.21955,32.59395,24.1204,22.39575,14.9161,14.84845,22.03325,15.7188,28.17085,37.58785
ACOX1,6.90258,6.54831,4.570605,3.77516,7.015005,5.876235,4.578985,4.946175,4.52665,4.96781
ACOX2,0.1305795,0.10431315,0.422813,0.258565,1.061065,3.446875,0.3360635,0.757284,1.30419,0.467844
ACOX3,5.438465,6.434075,5.173385,4.73156,4.720825,3.780725,2.4783,3.564025,7.070095,6.42224
ACOXL,0,0.0118807,0.0750498,0.04122195,0.05220955,0.0507955,0,0.02659435,0.10167985,0.0619756
ACP1,47.67785,43.87535,40.2641,51.77225,34.68085,42.2817,44.3138,50.6605,67.08955,71.4621
ACP2,29.3354,23.24775,48.17735,34.5413,23.24985,17.3266,24.25785,23.8971,25.69445,23.9683
ACP5,310.7235,302.4,31.44685,49.4096,83.3967,27.85555,99.4753,163.389,223.6825,265.407
ACP6,17.77785,10.7219,6.17672,6.37931,73.06975,92.6189,12.9256,16.12855,3.11237,5.02906
ACPP,0.07497935,0.0517373,0.3142115,0.06849595,3.60533,62.9271,19.48775,0.4358685,0.3542655,0.372257
ACPT,0,0,0.01842455,0,0.01113055,0.0112575,0,0,0.01692715,0
ACR,0.02795705,0.07419905,0.02946855,0.06919575,0.0615043,0.07741885,0.2333925,0.2077765,0.1397738,0.0575733
ACRBP,0.3150965,0.1175155,2.392205,1.1445135,0.500235,0.399796,0.45132,0.8441615,0.8508875,1.054784
ACRC,0.556433,0.0899514,0.9340115,1.41944,0.273786,0.6358615,0.3223515,0.472993,0.4028975,1.162985
ACRV1,0.228336,0.05269595,0.11466525,0.02620585,0.1662615,0.16753,0.07638415,0.04416275,0.1067191,0.09757255
ACSBG1,6.712275,9.72982,0.2838615,0.0878135,0.4500885,0.1426315,8.06369,0.1866865,0.846925,0.5676335
ACSBG2,0.029606,0.10076705,0.0464943,0.09437705,0.007828145,0.00947585,0.0218588,0.01768495,0.00627455,0.04007755
ACSF2,0.366835,0.160051,29.0802,46.4837,5.3413,2.90683,2.22678,2.1133,7.978175,7.43659
ACSF3,8.05526,7.78489,6.537995,7.486455,5.261255,4.054285,2.77171,4.393955,5.565095,4.42362
ACSL1,34.9006,32.47215,28.0399,20.75355,17.93335,18.98015,9.928685,16.61335,24.1905,32.8233
ACSL3,64.66755,80.72505,75.2828,59.7675,87.23235,175.2285,83.4491,85.6945,24.0227,27.9253
ACSL4,31.4404,33.1128,14.54525,15.00705,10.90125,16.0176,13.81565,18.7011,12.2291,15.0517
ACSL5,1.218075,1.8681,6.304265,2.14837,0.691301,1.07329,1.411105,4.098255,8.09425,4.829055
ACSL6,0.0382444,0.009027205,0.430413,0.2790225,0.2496355,0.2419725,0.198879,0.09518565,0.10037485,0.276582
ACSM1,0.00551145,0,0.08042435,0.0654175,0,0.0054685,0,0.01363,0,0.01841035
ACSM2A,0,0.003977525,0.01003515,0,0,0,0.0054263,0,0.0142954,0
ACSM2B,0,0,0,0.0079957,0,0,0,0,0,0
ACSM3,1.016943,1.564395,0.4492175,0.4069255,0.06845965,0.0677615,0.1511625,0.199919,0.376361,0.3373335
ACSM4,0,0,0,0,0,0,0,0.0085186,0,0
ACSM5,0.05254955,0.0939986,0.657959,0.537412,0.335861,0.02894635,0.1112979,0.5962275,0.3093425,1.34212
ACSS1,19.3326,24.2415,21.97725,22.14315,22.0735,17.4402,10.93365,8.49073,7.43207,8.019935
ACSS2,12.1657,13.80755,12.5883,10.7151,51.3387,82.2096,77.22965,68.31765,8.72202,9.05228
ACSS3,0.0907483,0.02941065,0.524783,0.1465765,24.67085,23.1835,5.896355,1.5237,0.8482535,0.232917
ACTA1,0.125154,0.04158425,55.0749,14.1311,0.1379226,0.08651165,0.0815557,0.06554215,0.1170544,0.201922
ACTA2,48.70905,46.4128,230.508,33.8136,14.3544,133.774,79.5189,194.194,673.34,232.544
ACTB,1395.91,1297.19,3088.23,2003.835,1576.745,1667.83,1432.335,2455.585,3916.68,3240.225
ACTBL2,0.09574275,0.0266076,0.13676585,0.5401205,0.07719165,0.0698676,0.03484215,0.0658303,0.01350875,0.0246609
ACTC1,0.008496345,0.0520912,12.54535,4.36977,0.00649818,0.1049635,0.145292,0.2822875,0.794675,0.05450195
ACTG1,1496.695,1775.565,795.0585,758.176,1483.6,826.098,762.8855,1067.26,1860.48,1390.925
ACTG1P4,0.0689101,0.0760045,0.11792025,0.120042,0.02431965,0.0205121,0.02282365,0.03699555,0.07584595,0.06086965
ACTG2,2.7172,119.6345,29.68475,1.689855,0.542451,14.75165,3.829315,13.88855,46.50435,6.303265
ACTL10,0.02999425,0.031224,3.310385,4.06447,7.993635,2.71466,0.808071,1.39832,1.96934,1.301435
ACTL6A,43.20685,53.1565,31.94605,47.6764,51.9908,65.10835,46.1962,42.86485,37.67455,31.77135
ACTL6B,0,0,0,0,0,0.01447425,0,0,0.03369255,0.04793975
ACTL7A,0.0076973,0,0,0,0,0,0,0,0,0
ACTL7B,0,0,0,0.02908435,0,0.0093455,0,0,0,0
ACTL8,0.00782835,0.316159,0.812187,1.348775,0.0427781,0.03292865,0,0.0879023,0.0760821,0.05349905
ACTL9,0,0,0.0170709,0,0,0,0,0,0,0
ACTN1,95.47675,135.0745,47.8693,42.51615,17.96485,40.14225,79.04165,107.448,135.1495,69.05725
ACTN1-AS1,0,0.0299283,0,0,0,0,0.052353,0.1244615,0.0425661,0
ACTN2,0.5556695,0.0374142,9.18829,1.30212,0.968909,0.6999815,2.520795,1.889275,0.0309776,0.517363
ACTN3,0,0.003650705,0.878958,1.102725,0.00674985,0.010412785,0.03090335,0.05341815,0.01147525,0.00799095
ACTN4,170.363,196.979,120.1205,68.9717,210.438,180.6325,261.4185,257.3065,201.303,117.8955
ACTR10,44.2653,46.57145,27.64265,31.5319,23.9284,24.173,34.5919,31.5976,19.9316,16.1244
ACTR1A,48.45095,46.9299,47.146,35.16645,23.9313,21.682,41.9443,40.4395,61.0758,41.87685
ACTR1B,22.35875,18.7826,14.3945,15.3898,27.8794,28.76055,42.5409,45.70565,32.1183,22.4565
ACTR2,112.954,140.143,60.44335,47.726,71.67,94.2181,112.4135,116.197,102.7475,115.871
ACTR3,58.5705,72.7032,40.38835,34.6187,43.355,72.45155,55.6809,53.38955,52.64155,62.7863
ACTR3B,0.8648535,1.152495,4.59072,5.891955,4.35216,4.694605,16.0121,10.7668,4.137145,5.85501
ACTR3BP2,0,0,0,0,0,0,0,0,0,0
ACTR3BP5,0,0,0,0,0,0,0,0,0,0
ACTR3C,0.218923,0.4502985,0.6440555,1.0459745,0.945119,0.9702055,4.058785,1.769235,1.0769795,1.183235
ACTR5,4.17215,4.988375,6.84005,8.655335,5.50977,5.0045,3.873545,3.024365,4.5208,4.541485
ACTR6,15.19685,15.7672,10.7852,15.47165,11.92355,13.22035,18.35445,13.15325,10.39765,12.0604
ACTR8,10.01335,11.2632,7.213085,6.478375,8.19424,8.15015,10.9338,8.829585,5.612635,5.00316
ACTRT1,0,0,0,0,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0,0,0,0,0
ACTRT3,1.3855,0.4658205,0.767191,0.6498015,1.45225,1.105919,0.704538,0.8144345,1.737255,0.971403
ACVR1,35.30825,40.3736,14.5972,12.09405,30.7523,47.1344,22.90885,34.2797,14.02405,9.567215
ACVR1B,5.216775,6.91337,4.38465,3.1107,4.770295,4.719065,5.05879,5.5591,5.306545,4.395145
ACVR1C,1.183975,0.2183195,0.240938,0.1922665,0.9963305,0.5024805,0.02309845,0.1041526,0.2422715,0.5642305
ACVR2A,2.09716,2.001715,1.099695,0.899867,2.175125,2.9652,3.06181,3.506225,2.192315,1.30107
ACVR2B,2.775935,2.77072,2.892615,3.0327,2.39459,2.003045,1.62628,0.724486,0.971525,0.9645225
ACVR2B-AS1,1.27472,1.666615,1.37363,1.2120635,1.46408,0.7430385,0.887864,0.2483975,0.1271314,0.144233
